Picture Count,CR,Year,Make,Model,Style,Odometer,Color,Stock #,Grade,Sale Date,Lane,Run Number,Price
19,No,2001,Acura,CL,S FWD,172790,BLACK,1091686,,11/27/2019,5X,5X-0026,2000
19,No,1997,Acura,Integra,LS FWD,198269,SILVER,1088198,,11/21/2019,6Y,6Y-0032,850
